,hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date,lead_time_group,total_length_of_stay,booking_value,arrival_date
36,Resort Hotel,0,15,2015,July,27,2,1,3,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,240.0,0.0,0,Transient,98.0,0,0,Check-Out,2015-07-06,14-30 Days,4,392.0,2015-07-02
37,Resort Hotel,0,36,2015,July,27,2,1,3,3,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,241.0,0.0,0,Transient,108.8,0,1,Check-Out,2015-07-06,31-90 Days,4,435.2,2015-07-02
38,Resort Hotel,1,43,2015,July,27,2,1,3,3,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,241.0,0.0,0,Transient,108.8,0,0,Canceled,2015-05-23,31-90 Days,4,435.2,2015-07-02
39,Resort Hotel,0,70,2015,July,27,2,2,3,2,0.0,0,HB,ROU,Direct,Direct,0,0,0,E,E,0,No Deposit,250.0,0.0,0,Transient,137.0,0,1,Check-Out,2015-07-07,31-90 Days,5,685.0,2015-07-02
40,Resort Hotel,1,45,2015,July,27,2,2,3,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,241.0,0.0,0,Transient,117.81,0,0,Canceled,2015-05-18,31-90 Days,5,589.05,2015-07-02
41,Resort Hotel,0,45,2015,July,27,2,2,3,2,0.0,0,BB,IRL,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,8.0,0.0,0,Contract,79.5,0,0,Check-Out,2015-07-07,31-90 Days,5,397.5,2015-07-02
42,Resort Hotel,0,16,2015,July,27,2,2,3,2,0.0,0,BB,ESP,Direct,Direct,0,0,0,F,F,0,No Deposit,0.0,0.0,0,Transient,123.0,0,0,Check-Out,2015-07-07,14-30 Days,5,615.0,2015-07-02
44,Resort Hotel,0,107,2015,July,27,2,2,5,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,0.0,0,Transient,110.7,0,2,Check-Out,2015-07-09,91-180 Days,7,774.9,2015-07-02
45,Resort Hotel,1,47,2015,July,27,2,2,5,2,2.0,0,BB,PRT,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,240.0,0.0,0,Transient,153.0,0,0,Canceled,2015-06-02,31-90 Days,7,1071.0,2015-07-02
46,Resort Hotel,0,96,2015,July,27,2,2,5,2,0.0,0,BB,ESP,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,134.0,0.0,0,Transient,58.95,0,1,Check-Out,2015-07-09,91-180 Days,7,412.65000000000003,2015-07-02
47,Resort Hotel,0,113,2015,July,27,2,2,5,2,0.0,0,BB,NOR,Offline TA/TO,TA/TO,0,0,0,E,E,0,No Deposit,156.0,0.0,0,Transient-Party,82.88,0,2,Check-Out,2015-07-09,91-180 Days,7,580.16,2015-07-02
48,Resort Hotel,0,90,2015,July,27,2,2,5,2,0.0,0,HB,GBR,Offline TA/TO,TA/TO,0,0,0,A,B,1,No Deposit,243.0,0.0,0,Contract,82.35,0,0,Check-Out,2015-07-09,31-90 Days,7,576.4499999999999,2015-07-02
49,Resort Hotel,0,50,2015,July,27,2,2,5,2,0.0,0,HB,IRL,Online TA,TA/TO,0,0,0,E,F,1,No Deposit,241.0,0.0,0,Transient,119.35,0,1,Check-Out,2015-07-09,31-90 Days,7,835.4499999999999,2015-07-02
50,Resort Hotel,0,113,2015,July,27,2,2,5,2,0.0,0,BB,NOR,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,156.0,0.0,0,Transient-Party,67.58,0,2,Check-Out,2015-07-09,91-180 Days,7,473.06,2015-07-02
51,Resort Hotel,0,93,2015,July,27,2,3,8,2,0.0,0,BB,IRL,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,156.0,0.0,0,Contract,56.01,0,0,Check-Out,2015-07-13,91-180 Days,11,616.11,2015-07-02
52,Resort Hotel,0,76,2015,July,27,2,4,10,2,0.0,0,BB,OMN,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,243.0,0.0,0,Contract,110.7,0,0,Check-Out,2015-07-16,31-90 Days,14,1549.8,2015-07-02
53,Resort Hotel,0,3,2015,July,27,2,0,1,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,240.0,0.0,0,Transient,88.2,1,0,Check-Out,2015-07-03,0-7 Days,1,88.2,2015-07-02
54,Resort Hotel,0,1,2015,July,27,2,0,1,2,0.0,0,BB,ARG,Online TA,TA/TO,0,0,0,H,H,0,No Deposit,240.0,0.0,0,Transient,147.0,1,0,Check-Out,2015-07-03,0-7 Days,1,147.0,2015-07-02
55,Resort Hotel,0,1,2015,July,27,2,0,1,2,2.0,0,BB,ESP,Direct,Direct,0,0,0,C,C,0,No Deposit,0.0,0.0,0,Transient,107.0,1,2,Check-Out,2015-07-03,0-7 Days,1,107.0,2015-07-02
56,Resort Hotel,0,0,2015,July,27,2,0,1,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,H,H,0,No Deposit,0.0,0.0,0,Transient,147.0,0,0,Check-Out,2015-07-03,0-7 Days,1,147.0,2015-07-02
57,Resort Hotel,0,0,2015,July,27,2,0,1,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,240.0,0.0,0,Transient,117.9,0,2,Check-Out,2015-07-03,0-7 Days,1,117.9,2015-07-02
58,Resort Hotel,0,0,2015,July,27,2,0,1,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,G,G,0,No Deposit,0.0,0.0,0,Transient,123.0,0,0,Check-Out,2015-07-03,0-7 Days,1,123.0,2015-07-02
59,Resort Hotel,0,14,2015,July,27,2,0,2,2,0.0,0,BB,USA,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,242.0,0.0,0,Transient,98.0,0,1,Check-Out,2015-07-04,8-14 Days,2,196.0,2015-07-02
60,Resort Hotel,0,10,2015,July,27,2,0,2,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,241.0,0.0,0,Transient,117.81,0,0,Check-Out,2015-07-04,8-14 Days,2,235.62,2015-07-02
61,Resort Hotel,0,5,2015,July,27,2,0,2,2,0.0,0,BB,IRL,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240.0,0.0,0,Transient,135.0,1,2,Check-Out,2015-07-04,0-7 Days,2,270.0,2015-07-02
62,Resort Hotel,0,17,2015,July,27,2,0,3,2,0.0,0,BB,ESP,Direct,Direct,0,0,0,F,F,0,No Deposit,250.0,0.0,0,Transient,133.0,0,1,Check-Out,2015-07-05,14-30 Days,3,399.0,2015-07-02
63,Resort Hotel,0,93,2015,July,27,2,0,3,2,0.0,0,BB,IRL,Offline TA/TO,TA/TO,0,0,0,A,C,0,No Deposit,115.0,0.0,0,Contract,58.95,0,0,Check-Out,2015-07-05,91-180 Days,3,176.85000000000002,2015-07-02
64,Resort Hotel,1,3,2015,July,27,2,0,3,2,0.0,0,HB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,0.0,0,Transient,136.33,0,2,Canceled,2015-06-29,0-7 Days,3,408.99,2015-07-02
65,Resort Hotel,0,10,2015,July,27,3,0,2,2,2.0,0,BB,USA,Online TA,TA/TO,0,0,0,G,H,0,No Deposit,240.0,0.0,0,Transient,153.0,1,0,Check-Out,2015-07-05,8-14 Days,2,306.0,2015-07-03
66,Resort Hotel,0,3,2015,July,27,3,0,2,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,240.0,0.0,0,Transient,110.5,0,0,Check-Out,2015-07-05,0-7 Days,2,221.0,2015-07-03
67,Resort Hotel,0,51,2015,July,27,3,0,2,2,0.0,0,BB,POL,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,242.0,0.0,0,Transient,97.0,0,0,Check-Out,2015-07-05,31-90 Days,2,194.0,2015-07-03
68,Resort Hotel,1,71,2015,July,27,3,0,2,3,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,242.0,0.0,0,Transient,110.3,0,2,Canceled,2015-06-16,31-90 Days,2,220.6,2015-07-03
69,Resort Hotel,1,63,2015,July,27,3,0,2,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,0.0,0,Transient,82.0,0,2,Canceled,2015-06-18,31-90 Days,2,164.0,2015-07-03
70,Resort Hotel,1,62,2015,July,27,3,0,2,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240.0,0.0,0,Transient,97.0,0,1,Canceled,2015-07-03,31-90 Days,2,194.0,2015-07-03
71,Resort Hotel,1,101,2015,July,27,3,0,2,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,0.0,0,Transient,73.8,0,1,Canceled,2015-06-12,91-180 Days,2,147.6,2015-07-03
72,Resort Hotel,0,2,2015,July,27,3,0,2,2,0.0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,3.0,0.0,0,Transient,91.5,0,0,Check-Out,2015-07-05,0-7 Days,2,183.0,2015-07-03
73,Resort Hotel,0,15,2015,July,27,3,0,2,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,0.0,0,Transient,114.5,0,0,Check-Out,2015-07-05,14-30 Days,2,229.0,2015-07-03
74,Resort Hotel,1,51,2015,July,27,3,0,2,3,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,242.0,0.0,0,Transient,110.3,0,0,Canceled,2015-06-09,31-90 Days,2,220.6,2015-07-03
75,Resort Hotel,0,3,2015,July,27,3,1,2,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,0.0,0,Transient,90.9,1,0,Check-Out,2015-07-06,0-7 Days,3,272.70000000000005,2015-07-03
76,Resort Hotel,1,48,2015,July,27,3,1,2,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240.0,0.0,0,Transient,123.0,0,0,Canceled,2015-05-26,31-90 Days,3,369.0,2015-07-03
77,Resort Hotel,0,2,2015,July,27,3,2,2,1,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,0.0,0,Transient,122.0,0,0,Check-Out,2015-07-07,0-7 Days,4,488.0,2015-07-03
78,Resort Hotel,0,72,2015,July,27,3,2,2,2,0.0,0,BB,DEU,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,105.0,0.0,0,Transient,110.7,1,0,Check-Out,2015-07-07,31-90 Days,4,442.8,2015-07-03
79,Resort Hotel,0,81,2015,July,27,3,2,6,3,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,5.0,0.0,0,Transient,85.86,0,0,Check-Out,2015-07-11,31-90 Days,8,686.88,2015-07-03
80,Resort Hotel,0,99,2015,July,27,3,2,7,2,0.0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,40.0,0.0,0,Contract,58.95,0,0,Check-Out,2015-07-12,91-180 Days,9,530.5500000000001,2015-07-03
81,Resort Hotel,1,368,2015,July,27,3,3,7,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,40.0,0.0,0,Contract,55.68,0,0,Canceled,2015-05-19,180+ Days,10,556.8,2015-07-03
82,Resort Hotel,0,364,2015,July,27,3,3,7,2,0.0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,40.0,0.0,0,Contract,55.68,0,0,Check-Out,2015-07-13,180+ Days,10,556.8,2015-07-03
83,Resort Hotel,1,81,2015,July,27,3,3,7,2,0.0,0,HB,PRT,Direct,Direct,0,0,0,A,A,2,No Deposit,250.0,0.0,0,Transient,124.0,0,1,Canceled,2015-06-09,31-90 Days,10,1240.0,2015-07-03
84,Resort Hotel,0,99,2015,July,27,3,3,7,2,0.0,0,HB,GBR,Offline TA/TO,TA/TO,0,0,0,E,E,0,No Deposit,115.0,0.0,0,Contract,111.15,0,0,Check-Out,2015-07-13,91-180 Days,10,1111.5,2015-07-03
85,Resort Hotel,0,324,2015,July,27,3,4,10,2,0.0,0,HB,GBR,Offline TA/TO,TA/TO,0,0,0,E,E,0,No Deposit,40.0,0.0,0,Contract,134.73,0,0,Check-Out,2015-07-17,180+ Days,14,1886.2199999999998,2015-07-03
86,Resort Hotel,0,69,2015,July,27,3,4,10,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,F,F,1,No Deposit,241.0,0.0,0,Transient,92.45,0,1,Check-Out,2015-07-17,31-90 Days,14,1294.3,2015-07-03
87,Resort Hotel,1,79,2015,July,27,3,6,15,2,1.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,242.0,0.0,0,Transient,108.73,0,2,Canceled,2015-04-15,31-90 Days,21,2283.33,2015-07-03
88,Resort Hotel,0,12,2015,July,27,3,0,1,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,240.0,0.0,0,Transient,73.8,0,0,Check-Out,2015-07-04,8-14 Days,1,73.8,2015-07-03
89,Resort Hotel,0,9,2015,July,27,3,0,1,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,240.0,0.0,0,Transient,98.0,1,2,Check-Out,2015-07-04,8-14 Days,1,98.0,2015-07-03
90,Resort Hotel,0,1,2015,July,27,3,0,1,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,240.0,0.0,0,Transient,131.0,0,1,Check-Out,2015-07-04,0-7 Days,1,131.0,2015-07-03
91,Resort Hotel,0,21,2015,July,27,3,0,1,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240.0,0.0,0,Transient,123.0,0,0,Check-Out,2015-07-04,14-30 Days,1,123.0,2015-07-03
92,Resort Hotel,0,9,2015,July,27,3,0,1,2,0.0,0,BB,USA,Online TA,TA/TO,0,0,0,C,C,0,No Deposit,241.0,0.0,0,Transient,94.71,0,0,Check-Out,2015-07-04,8-14 Days,1,94.71,2015-07-03
93,Resort Hotel,0,109,2015,July,27,3,0,1,2,0.0,0,BB,BEL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,0.0,0,Transient,123.0,0,2,Check-Out,2015-07-04,91-180 Days,1,123.0,2015-07-03
94,Resort Hotel,1,109,2015,July,27,3,0,2,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,0.0,0,Transient,123.0,0,1,Canceled,2015-05-26,91-180 Days,2,246.0,2015-07-03
95,Resort Hotel,1,72,2015,July,27,3,0,2,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,0.0,0,Transient,73.8,0,1,Canceled,2015-06-29,31-90 Days,2,147.6,2015-07-03
96,Resort Hotel,1,63,2015,July,27,3,2,5,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,242.0,0.0,0,Transient,117.0,0,1,Canceled,2015-05-13,31-90 Days,7,819.0,2015-07-03
97,Resort Hotel,0,63,2015,July,27,3,2,5,3,0.0,0,HB,ESP,Offline TA/TO,TA/TO,0,0,0,E,E,0,No Deposit,105.0,0.0,0,Transient,196.54,0,1,Check-Out,2015-07-10,31-90 Days,7,1375.78,2015-07-03
98,Resort Hotel,0,101,2015,July,27,3,2,5,2,1.0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240.0,0.0,0,Transient,99.3,1,2,Check-Out,2015-07-10,91-180 Days,7,695.1,2015-07-03
99,Resort Hotel,0,102,2015,July,27,3,2,5,2,0.0,0,BB,DEU,Direct,Direct,0,0,0,E,E,0,No Deposit,250.0,0.0,0,Transient,90.95,0,0,Check-Out,2015-07-10,91-180 Days,7,636.65,2015-07-03
100,Resort Hotel,0,4,2015,July,27,4,2,1,2,0.0,0,BB,ESP,Direct,Direct,0,0,0,A,C,0,No Deposit,250.0,0.0,0,Transient,92.67,0,1,Check-Out,2015-07-07,0-7 Days,3,278.01,2015-07-04
101,Resort Hotel,0,98,2015,July,27,4,2,1,2,0.0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,8.0,0.0,0,Transient,71.55,1,0,Check-Out,2015-07-07,91-180 Days,3,214.64999999999998,2015-07-04
102,Resort Hotel,0,92,2015,July,27,4,2,4,1,2.0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,F,F,0,No Deposit,241.0,0.0,0,Transient,96.49,0,2,Check-Out,2015-07-10,91-180 Days,6,578.9399999999999,2015-07-04
103,Resort Hotel,0,95,2015,July,27,4,2,4,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,240.0,0.0,0,Transient,85.8,1,2,Check-Out,2015-07-10,91-180 Days,6,514.8,2015-07-04
104,Resort Hotel,0,102,2015,July,27,4,2,5,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240.0,0.0,0,Transient,96.3,0,1,Check-Out,2015-07-11,91-180 Days,7,674.1,2015-07-04
105,Resort Hotel,1,26,2015,July,27,4,2,5,2,2.0,0,BB,PRT,Online TA,TA/TO,0,0,0,H,H,0,No Deposit,240.0,0.0,0,Transient,163.0,0,0,Canceled,2015-06-09,14-30 Days,7,1141.0,2015-07-04
106,Resort Hotel,1,73,2015,July,27,4,2,5,3,0.0,0,HB,PRT,Direct,Direct,0,0,0,D,D,0,No Deposit,250.0,0.0,0,Transient,172.0,0,1,Canceled,2015-05-20,31-90 Days,7,1204.0,2015-07-04
107,Resort Hotel,1,102,2015,July,27,4,2,5,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,0.0,0,Transient,110.7,0,1,Canceled,2015-04-22,91-180 Days,7,774.9,2015-07-04
108,Resort Hotel,0,115,2015,July,27,4,2,5,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,134.0,0.0,0,Transient,58.95,0,1,Check-Out,2015-07-11,91-180 Days,7,412.65000000000003,2015-07-04
