grid,pole_position,previous_races,previous_wins,previous_win_rate,previous_points,previous_avg_position,previous_podiums,previous_podium_rate,previous_constructor_wins,previous_constructor_points,previous_constructor_races,previous_constructor_win_rate,win
18,0,1,0,0.0,0.0,20.0,0,0.0,0,11.0,3,0.0,0
12,0,1,0,0.0,0.0,14.0,0,0.0,0,0.0,1,0.0,0
4,0,4,0,0.0,0.0,10.75,0,0.0,0,13.0,4,0.0,0
15,0,0,0,0.0,0.0,,0,0.0,0,13.0,4,0.0,0
2,0,4,2,0.5,22.0,4.25,2,0.5,4,61.0,4,1.0,0
5,0,3,0,0.0,3.0,12.0,0,0.0,0,13.0,4,0.0,0
9,0,1,0,0.0,0.0,7.0,0,0.0,0,13.0,4,0.0,0
10,0,1,0,0.0,2.0,5.0,0,0.0,0,11.0,5,0.0,0
14,0,4,0,0.0,0.0,9.0,0,0.0,0,13.0,4,0.0,0
6,0,4,0,0.0,10.0,6.0,2,0.5,0,13.0,4,0.0,0
11,0,1,0,0.0,4.0,3.0,1,1.0,0,11.0,5,0.0,0
7,0,1,0,0.0,0.0,18.0,0,0.0,0,11.0,5,0.0,0
13,0,3,0,0.0,4.0,10.0,1,0.3333333333333333,0,11.0,5,0.0,0
17,0,1,0,0.0,0.0,9.0,0,0.0,0,11.0,5,0.0,0
16,0,3,0,0.0,3.0,10.333333333333334,0,0.0,0,13.0,4,0.0,0
8,0,1,0,0.0,0.0,10.0,0,0.0,0,11.0,5,0.0,0
4,0,1,0,0.0,0.0,11.0,0,0.0,0,13.0,4,0.0,0
15,0,5,0,0.0,10.0,7.2,2,0.4,0,13.0,4,0.0,0
3,0,5,2,0.4,22.0,4.8,2,0.4,5,76.0,5,1.0,1
6,0,0,0,0.0,0.0,,0,0.0,0,15.0,4,0.0,0
5,0,5,0,0.0,24.0,4.0,4,0.8,5,76.0,5,1.0,0
13,0,6,0,0.0,10.0,7.0,2,0.3333333333333333,0,15.0,5,0.0,0
16,0,5,0,0.0,1.0,9.6,0,0.0,0,15.0,5,0.0,0
17,0,3,0,0.0,0.0,12.666666666666666,0,0.0,0,11.0,6,0.0,0
18,0,2,0,0.0,4.0,11.5,1,0.5,0,15.0,4,0.0,0
24,0,1,0,0.0,0.0,15.0,0,0.0,0,11.0,6,0.0,0
21,0,2,0,0.0,0.0,12.0,0,0.0,0,0.0,2,0.0,0
8,0,4,0,0.0,3.0,12.0,0,0.0,0,15.0,5,0.0,0
11,0,0,0,0.0,0.0,,0,0.0,0,15.0,5,0.0,0
9,0,2,0,0.0,0.0,16.0,0,0.0,0,11.0,6,0.0,0
7,0,0,0,0.0,0.0,,0,0.0,5,76.0,5,1.0,0
20,0,2,0,0.0,0.0,8.0,0,0.0,0,15.0,5,0.0,0
1,1,5,3,0.6,26.0,5.4,3,0.6,5,76.0,5,1.0,0
22,0,5,0,0.0,0.0,9.4,0,0.0,0,15.0,5,0.0,0
2,0,3,0,0.0,8.0,8.0,1,0.3333333333333333,0,15.0,4,0.0,0
25,0,0,0,0.0,0.0,,0,0.0,0,15.0,4,0.0,0
16,0,0,0,0.0,0.0,,0,0.0,0,15.0,5,0.0,0
26,0,0,0,0.0,0.0,,0,0.0,0,11.0,6,0.0,0
12,0,1,0,0.0,0.0,16.0,0,0.0,0,3.0,2,0.0,0
19,0,4,0,0.0,4.0,11.25,1,0.25,0,11.0,6,0.0,0
4,0,0,0,0.0,0.0,,0,0.0,5,76.0,5,1.0,0
10,0,2,0,0.0,3.0,9.0,0,0.0,0,3.0,2,0.0,0
15,0,3,0,0.0,5.0,7.666666666666667,0,0.0,0,11.0,6,0.0,0
27,0,0,0,0.0,0.0,,0,0.0,0,11.0,6,0.0,0
23,0,2,0,0.0,2.0,7.5,0,0.0,0,0.0,0,0.0,0
6,0,4,0,0.0,8.0,10.25,1,0.25,0,15.0,4,0.0,0
7,0,6,3,0.5,27.0,7.0,3,0.5,5,76.0,5,1.0,0
1,1,7,3,0.42857142857142855,27.0,7.857142857142857,3,0.42857142857142855,6,89.0,6,1.0,1
6,0,1,0,0.0,0.0,13.0,0,0.0,0,21.0,5,0.0,0
2,0,6,3,0.5,30.0,4.166666666666667,3,0.5,6,89.0,6,1.0,0
4,0,1,0,0.0,0.0,23.0,0,0.0,6,89.0,6,1.0,0
5,0,4,0,0.0,0.0,11.0,0,0.0,6,89.0,6,1.0,0
7,0,5,0,0.0,11.0,8.6,2,0.4,0,21.0,5,0.0,0
19,0,5,0,0.0,4.0,13.4,1,0.2,0,11.0,7,0.0,0
14,0,0,0,0.0,0.0,,0,0.0,0,0.0,0,0.0,0
8,0,7,0,0.0,13.0,6.571428571428571,2,0.2857142857142857,0,20.0,6,0.0,0
12,0,6,0,0.0,3.0,8.833333333333334,0,0.0,0,20.0,6,0.0,0
10,0,0,0,0.0,0.0,,0,0.0,0,21.0,5,0.0,0
17,0,2,0,0.0,0.0,13.5,0,0.0,0,11.0,7,0.0,0
18,0,6,0,0.0,0.0,10.5,0,0.0,0,20.0,6,0.0,0
21,0,1,0,0.0,0.0,11.0,0,0.0,0,20.0,6,0.0,0
9,0,3,0,0.0,4.0,10.0,1,0.3333333333333333,0,21.0,5,0.0,0
11,0,1,0,0.0,0.0,19.0,0,0.0,0,20.0,6,0.0,0
20,0,0,0,0.0,0.0,,0,0.0,0,0.0,0,0.0,0
15,0,4,0,0.0,3.0,11.0,0,0.0,0,20.0,6,0.0,0
3,0,3,0,0.0,0.0,10.0,0,0.0,0,21.0,5,0.0,0
13,0,2,0,0.0,0.0,14.0,0,0.0,0,20.0,6,0.0,0
16,0,0,0,0.0,0.0,,0,0.0,0,0.0,0,0.0,0
2,0,1,0,0.0,0.0,6.0,0,0.0,1,14.0,1,1.0,1
7,0,0,0,0.0,0.0,,0,0.0,1,14.0,1,1.0,0
3,0,1,0,0.0,0.0,14.0,0,0.0,1,14.0,1,1.0,0
31,0,0,0,0.0,0.0,,0,0.0,0,0.0,0,0.0,0
29,0,0,0,0.0,0.0,,0,0.0,0,0.0,0,0.0,0
17,0,1,0,0.0,0.0,25.0,0,0.0,0,0.0,1,0.0,0
24,0,0,0,0.0,0.0,,0,0.0,1,14.0,1,1.0,0
4,0,1,0,0.0,0.0,12.0,0,0.0,0,10.0,1,0.0,0
9,0,2,0,0.0,1.0,18.0,0,0.0,0,10.0,1,0.0,0
1,1,0,0,0.0,0.0,,0,0.0,1,14.0,1,1.0,0
22,0,0,0,0.0,0.0,,0,0.0,1,14.0,1,1.0,0
12,0,1,0,0.0,0.0,30.0,0,0.0,1,14.0,1,1.0,0
16,0,1,0,0.0,0.0,26.0,0,0.0,1,14.0,1,1.0,0
5,0,1,0,0.0,4.0,3.0,1,1.0,0,10.0,1,0.0,0
14,0,1,0,0.0,0.0,7.0,0,0.0,0,0.0,0,0.0,0
27,0,1,0,0.0,0.0,17.0,0,0.0,0,0.0,0,0.0,0
11,0,1,0,0.0,0.0,28.0,0,0.0,1,14.0,1,1.0,0
15,0,0,0,0.0,0.0,,0,0.0,1,14.0,1,1.0,0
33,0,0,0,0.0,0.0,,0,0.0,0,0.0,0,0.0,0
19,0,0,0,0.0,0.0,,0,0.0,0,0.0,1,0.0,0
8,0,1,1,1.0,9.0,1.0,1,1.0,1,14.0,1,1.0,0
10,0,1,0,0.0,3.0,4.0,0,0.0,1,14.0,1,1.0,0
6,0,1,0,0.0,0.0,15.0,0,0.0,1,14.0,1,1.0,0
32,0,1,0,0.0,0.0,33.0,0,0.0,0,0.0,0,0.0,0
28,0,0,0,0.0,0.0,,0,0.0,1,14.0,1,1.0,0
13,0,1,0,0.0,0.0,19.0,0,0.0,1,14.0,1,1.0,0
25,0,0,0,0.0,0.0,,0,0.0,0,0.0,0,0.0,0
18,0,0,0,0.0,0.0,,0,0.0,1,14.0,1,1.0,0
20,0,0,0,0.0,0.0,,0,0.0,0,0.0,0,0.0,0
21,0,1,0,0.0,0.0,8.0,0,0.0,0,0.0,1,0.0,0
23,0,1,0,0.0,0.0,13.0,0,0.0,0,10.0,1,0.0,0
26,0,1,0,0.0,0.0,18.0,0,0.0,0,11.0,8,0.0,0
30,0,0,0,0.0,0.0,,0,0.0,0,0.0,1,0.0,0
3,0,0,0,0.0,0.0,,0,0.0,1,14.0,1,1.0,0
2,0,7,3,0.42857142857142855,34.0,4.0,4,0.5714285714285714,7,107.0,7,1.0,1
4,0,6,0,0.0,11.0,8.166666666666666,2,0.3333333333333333,0,27.0,6,0.0,0
3,0,4,0,0.0,0.0,12.25,0,0.0,0,27.0,6,0.0,0
7,0,8,0,0.0,13.0,6.875,2,0.25,0,20.0,7,0.0,0
8,0,5,0,0.0,3.0,12.4,0,0.0,0,20.0,7,0.0,0
12,0,0,0,0.0,0.0,,0,0.0,0,20.0,7,0.0,0
11,0,7,0,0.0,0.0,10.857142857142858,0,0.0,0,20.0,7,0.0,0
13,0,3,0,0.0,0.0,10.0,0,0.0,0,20.0,7,0.0,0
1,1,8,4,0.5,36.0,7.0,4,0.5,7,107.0,7,1.0,0
9,0,6,0,0.0,4.0,12.333333333333334,1,0.16666666666666666,0,20.0,7,0.0,0
6,0,2,0,0.0,3.0,13.5,0,0.0,7,107.0,7,1.0,0
5,0,2,0,0.0,6.0,7.5,1,0.5,0,27.0,6,0.0,0
10,0,7,0,0.0,3.0,9.0,0,0.0,0,20.0,7,0.0,0
7,0,6,0,0.0,28.0,3.8333333333333335,5,0.8333333333333334,8,116.0,8,1.0,1
6,0,7,0,0.0,17.0,7.285714285714286,3,0.42857142857142855,0,37.0,7,0.0,0
4,0,5,0,0.0,4.0,10.4,1,0.2,0,37.0,7,0.0,0
9,0,2,0,0.0,4.0,8.0,1,0.5,0,37.0,7,0.0,0
2,0,8,4,0.5,42.0,3.625,5,0.625,8,116.0,8,1.0,0
8,0,7,0,0.0,4.0,12.0,1,0.14285714285714285,0,25.0,8,0.0,0
11,0,6,0,0.0,5.0,11.166666666666666,0,0.0,0,25.0,8,0.0,0
14,0,2,0,0.0,1.0,8.0,0,0.0,0,25.0,8,0.0,0
19,0,2,0,0.0,0.0,12.5,0,0.0,0,25.0,8,0.0,0
5,0,3,0,0.0,3.0,12.666666666666666,0,0.0,8,116.0,8,1.0,0
1,1,9,4,0.4444444444444444,37.0,7.222222222222222,4,0.4444444444444444,8,116.0,8,1.0,0
12,0,8,0,0.0,0.0,10.375,0,0.0,0,25.0,8,0.0,0
13,0,9,0,0.0,16.0,6.555555555555555,2,0.2222222222222222,0,25.0,8,0.0,0
10,0,8,0,0.0,3.0,9.5,0,0.0,0,25.0,8,0.0,0
17,0,0,0,0.0,0.0,,0,0.0,0,3.0,3,0.0,0
22,0,3,0,0.0,0.0,13.0,0,0.0,0,11.0,9,0.0,0
18,0,2,0,0.0,0.0,18.5,0,0.0,0,3.0,3,0.0,0
3,0,8,0,0.0,20.0,6.625,4,0.5,0,37.0,7,0.0,0
21,0,0,0,0.0,0.0,,0,0.0,0,3.0,3,0.0,0
23,0,3,0,0.0,3.0,14.0,0,0.0,0,3.0,3,0.0,0
15,0,0,0,0.0,0.0,,0,0.0,0,11.0,9,0.0,0
16,0,5,0,0.0,2.0,9.8,0,0.0,0,11.0,9,0.0,0
20,0,4,0,0.0,4.0,11.25,1,0.25,0,37.0,7,0.0,0
7,0,10,4,0.4,37.0,7.6,4,0.4,8,116.0,8,1.0,1
6,0,3,0,0.0,0.0,16.0,0,0.0,0,37.0,7,0.0,0
1,1,7,1,0.14285714285714285,32.0,3.4285714285714284,6,0.8571428571428571,8,116.0,8,1.0,0
1,1,4,0,0.0,3.0,12.5,1,0.25,0,50.0,8,0.0,1
2,0,11,5,0.45454545454545453,42.0,7.0,5,0.45454545454545453,9,127.0,9,1.0,0
5,0,6,0,0.0,8.0,9.166666666666666,2,0.3333333333333333,0,50.0,8,0.0,0
7,0,3,0,0.0,2.0,14.0,0,0.0,9,127.0,9,1.0,0
20,0,3,0,0.0,7.0,6.666666666666667,1,0.3333333333333333,0,0.0,0,0.0,0
6,0,4,0,0.0,3.0,12.0,0,0.0,9,127.0,9,1.0,0
19,0,1,0,0.0,0.0,20.0,0,0.0,0,0.0,0,0.0,0
12,0,1,0,0.0,0.0,10.0,0,0.0,0,0.0,3,0.0,0
8,0,5,0,0.0,4.0,13.6,1,0.2,0,50.0,8,0.0,0
9,0,10,0,0.0,16.0,7.2,2,0.2,0,25.0,9,0.0,0
10,0,2,0,0.0,0.0,6.0,0,0.0,0,0.0,3,0.0,0
11,0,0,0,0.0,0.0,,0,0.0,0,25.0,9,0.0,0
14,0,9,0,0.0,0.0,10.555555555555555,0,0.0,0,25.0,9,0.0,0
3,0,9,4,0.4444444444444444,44.0,3.7777777777777777,5,0.5555555555555556,9,127.0,9,1.0,0
18,0,1,0,0.0,0.0,13.0,0,0.0,0,0.0,2,0.0,0
4,0,9,0,0.0,20.0,7.888888888888889,4,0.4444444444444444,0,50.0,8,0.0,0
16,0,0,0,0.0,0.0,,0,0.0,0,11.0,10,0.0,0
15,0,2,0,0.0,0.0,11.5,0,0.0,0,11.0,10,0.0,0
13,0,8,0,0.0,4.0,11.25,1,0.125,0,25.0,9,0.0,0
17,0,0,0,0.0,0.0,,0,0.0,0,11.0,10,0.0,0
1,1,10,0,0.0,20.0,8.7,4,0.4,1,62.0,9,0.1111111111111111,1
3,0,12,5,0.4166666666666667,48.0,6.583333333333333,6,0.5,9,137.0,10,0.9,0
2,0,5,1,0.2,11.0,10.2,2,0.4,1,62.0,9,0.1111111111111111,0
5,0,7,0,0.0,12.0,8.285714285714286,3,0.42857142857142855,1,62.0,9,0.1111111111111111,0
6,0,3,0,0.0,6.0,9.0,1,0.3333333333333333,1,62.0,9,0.1111111111111111,0
8,0,1,0,0.0,0.0,11.0,0,0.0,1,62.0,9,0.1111111111111111,0
9,0,4,0,0.0,3.0,15.5,0,0.0,0,3.0,4,0.0,0
15,0,11,0,0.0,16.0,7.454545454545454,2,0.18181818181818182,0,25.0,10,0.0,0
19,0,4,0,0.0,0.0,9.5,0,0.0,0,25.0,10,0.0,0
22,0,0,0,0.0,0.0,,0,0.0,0,25.0,10,0.0,0
18,0,10,0,0.0,0.0,10.8,0,0.0,0,25.0,10,0.0,0
11,0,7,0,0.0,5.0,10.571428571428571,0,0.0,0,25.0,10,0.0,0
14,0,3,0,0.0,0.0,18.0,0,0.0,0,3.0,4,0.0,0
10,0,4,0,0.0,5.0,11.5,0,0.0,9,137.0,10,0.9,0
20,0,1,0,0.0,0.0,12.0,0,0.0,0,25.0,10,0.0,0
7,0,1,0,0.0,0.0,26.0,0,0.0,9,137.0,10,0.9,0
12,0,1,0,0.0,0.0,19.0,0,0.0,0,3.0,4,0.0,0
4,0,10,4,0.4,45.0,4.8,5,0.5,9,137.0,10,0.9,0
21,0,9,0,0.0,3.0,10.0,0,0.0,0,25.0,10,0.0,0
13,0,9,0,0.0,4.0,12.11111111111111,1,0.1111111111111111,0,25.0,10,0.0,0
17,0,2,0,0.0,0.0,10.5,0,0.0,0,11.0,11,0.0,0
16,0,6,0,0.0,2.0,11.833333333333334,0,0.0,0,11.0,11,0.0,0
3,0,11,1,0.09090909090909091,28.0,8.0,5,0.45454545454545453,2,79.0,10,0.2,1
4,0,6,1,0.16666666666666666,15.0,9.0,3,0.5,2,79.0,10,0.2,0
7,0,5,0,0.0,5.0,12.0,0,0.0,9,144.0,11,0.8181818181818182,0
5,0,8,0,0.0,15.0,7.75,3,0.375,2,79.0,10,0.2,0
6,0,4,0,0.0,8.0,8.0,1,0.25,2,79.0,10,0.2,0
11,0,2,0,0.0,0.0,18.0,0,0.0,0,3.0,5,0.0,0
15,0,12,0,0.0,16.0,7.5,2,0.16666666666666666,0,25.0,11,0.0,0
14,0,8,0,0.0,5.0,10.75,0,0.0,0,25.0,11,0.0,0
18,0,3,0,0.0,0.0,14.666666666666666,0,0.0,0,0.0,0,0.0,0
1,1,13,5,0.38461538461538464,55.0,6.230769230769231,7,0.5384615384615384,9,144.0,11,0.8181818181818182,0
12,0,4,0,0.0,0.0,16.75,0,0.0,0,3.0,5,0.0,0
13,0,5,0,0.0,3.0,13.8,0,0.0,0,3.0,5,0.0,0
17,0,10,0,0.0,4.0,12.9,1,0.1,0,25.0,11,0.0,0
20,0,5,0,0.0,0.0,9.4,0,0.0,0,25.0,11,0.0,0
22,0,1,0,0.0,0.0,10.0,0,0.0,0,25.0,11,0.0,0
2,0,11,4,0.36363636363636365,45.0,6.0,5,0.45454545454545453,9,144.0,11,0.8181818181818182,0
21,0,11,0,0.0,0.0,10.818181818181818,0,0.0,0,25.0,11,0.0,0
9,0,7,0,0.0,2.0,13.285714285714286,0,0.0,9,144.0,11,0.8181818181818182,0
19,0,6,0,0.0,4.0,12.833333333333334,1,0.16666666666666666,2,79.0,10,0.2,0
16,0,0,0,0.0,0.0,,0,0.0,2,79.0,10,0.2,0
8,0,4,0,0.0,9.0,6.25,1,0.25,0,2.0,1,0.0,0
10,0,0,0,0.0,0.0,,0,0.0,0,2.0,1,0.0,0
7,0,12,4,0.3333333333333333,45.0,6.833333333333333,5,0.4166666666666667,9,144.0,11,0.8181818181818182,0
2,0,14,5,0.35714285714285715,55.0,6.5,7,0.5,9,149.0,12,0.75,1
3,0,7,1,0.14285714285714285,21.0,8.0,4,0.5714285714285714,3,98.0,11,0.2727272727272727,0
4,0,13,4,0.3076923076923077,48.0,6.538461538461538,6,0.46153846153846156,9,149.0,12,0.75,0
1,1,12,2,0.16666666666666666,36.0,7.416666666666667,6,0.5,3,98.0,11,0.2727272727272727,0
8,0,6,0,0.0,7.0,10.5,1,0.16666666666666666,9,149.0,12,0.75,0
6,0,8,0,0.0,2.0,13.875,0,0.0,9,149.0,12,0.75,0
20,0,13,0,0.0,16.0,7.461538461538462,2,0.15384615384615385,0,25.0,12,0.0,0
13,0,10,0,0.0,3.0,10.9,0,0.0,0,25.0,12,0.0,0
9,0,6,0,0.0,3.0,13.5,0,0.0,0,3.0,6,0.0,0
17,0,0,0,0.0,0.0,,0,0.0,0,11.0,12,0.0,0
5,0,9,0,0.0,18.0,7.333333333333333,3,0.3333333333333333,3,98.0,11,0.2727272727272727,0
10,0,3,0,0.0,0.0,14.0,0,0.0,0,3.0,6,0.0,0
15,0,12,0,0.0,0.0,11.333333333333334,0,0.0,0,25.0,12,0.0,0
7,0,5,0,0.0,10.0,7.4,1,0.2,3,98.0,11,0.2727272727272727,0
11,0,5,0,0.0,0.0,15.6,0,0.0,0,3.0,6,0.0,0
16,0,0,0,0.0,0.0,,0,0.0,0,25.0,12,0.0,0
14,0,9,0,0.0,5.0,10.444444444444445,0,0.0,0,25.0,12,0.0,0
12,0,11,0,0.0,4.0,12.909090909090908,1,0.09090909090909091,0,25.0,12,0.0,0
19,0,4,0,0.0,5.0,12.0,0,0.0,0,11.0,12,0.0,0
18,0,0,0,0.0,0.0,,0,0.0,0,11.0,12,0.0,0
